DESWEZ; DESWEZ ;;;;;;;
DEWYT; DEWYT ;;;;;;;
DHAINE; DHAINE ;;;;;;;
D IENA; D IENA ;;;;;;;
DONZE; DONZE ;;;;;;;
DRUELLE; DRUELLE ;;;;;;;
DU CYGNE; DU CYGNE ;;;;;;;
DU VACHER; DU VACHER ;;;;;;;
DUBOIS; DUBOIS ;;;;;;;
DUPONT; DUPONT ;;;;;;;
FAGET; FAGET ;;;;;;;
FAIDHERBE; FAIDHERBE ;;;;;;;
FAVRELLE; FAVRELLE ;;;;;;;
FIEVET; FIEVET ;;;;;;;
FOURDIN; FOURDIN ;;;;;;;
FREMEAUX; FREMEAUX ;;;;;;;
FROMONT; FROMONT ;;;;;;;
GAUDIN; GAUDIN ;;;;;;;
GOURDIN; GOURDIN ;;;;;;;
GOUY; GOUY ;;;;;;;
GRUSON; GRUSON ;;;;;;;
GRUYELLE; GRUYELLE ;;;;;;;
ISBLED; ISBLED ;;;;;;;
JACQUERY; JACQUERY ;;;;;;;
JEAN-FRANCOIS CAIL; JEAN-FRANCOIS CAIL ;;;;;;;
JEANNE D ARC; JEANNE D ARC ; JEAN D ARC ;;;;;;
KINCKMANS; KINCKMANS ;;;;;;;
LANDAS; LANDAS ;;;;;;;
LE BARGY; LE BARGY ;;;;;;;
LEBLEU; LEBLEU ;;;;;;;
LECLERC; LECLERC ;;;;;;;
LECOQ; LECOQ ;;;;;;;
LEMIERE; LEMIERE ;;;;;;;
LENFANT; LENFANT ;;;;;;;
LEROUX; LEROUX ;;;;;;;
LONGPAS; LONGPAS ;;;;;;;
LOUBERT; LOUBERT ;;;;;;;
MALAKOFF; MALAKOFF ;;;;;;;
MATHURIN; MATHURIN ;;;;;;;
MEXICO; MEXICO ;;;;;;;
MIGNOT; MIGNOT ;;;;;;;
MODERNE; MODERNE ;;;;;;;
MONTAGNE; MONTAGNE ;;;;;;;
MORELLE; MORELLE ;;;;;;;
MOUTON BLANC; MOUTON BLANC ;;;;;;;
MULET; MULET ;;;;;;;
MULOT; MULOT ;;;;;;;
NARCISSE; NARCISSE ;;;;;;;
NEUVE; NEUVE ;;;;;;;
NOTRE DAME; NOTRE DAME ;;;;;;;
NOTRE-DAME; NOTRE-DAME ;;;;;;;
PECQUEUR; PECQUEUR ;;;;;;;
PHILIPPO; PHILIPPO ;;;;;;;
PREVOST; PREVOST ;;;;;;;
PRUVOST; PRUVOST ;;;;;;;
REBOUX; REBOUX ;;;;;;;
ROHART; ROHART ;;;;;;;
ROUSSEL; ROUSSEL ;;;;;;;
RUFFIAEN; RUFFIAEN ;;;;;;;
SAINT ARTHUR; SAINT ARTHUR ;;;;;;;
SAINT HONORE; SAINT HONORE ;;;;;;;
SAINT LAURENT; SAINT LAURENT ;;;;;;;
SAINT MARTIN; SAINT MARTIN ;;;;;;;
SAINT MICHEL; SAINT MICHEL ;;;;;;;
SAINT PIERRE; SAINT PIERRE ;;;;;;;
SAINT VICTOR; SAINT VICTOR ;;;;;;;
SAINTE AGNES; SAINTE AGNES ;;;;;;;
SAINTE ANNE; SAINTE ANNE ;;;;;;;
SAINTE MARGUERITE; SAINTE MARGUERITE ;;;;;;;
SAINT-LOUIS; SAINT-LOUIS ;;;;;;;
SEMULIER; SEMULIER ;;;;;;;
SERRURE; SERRURE ;;;;;;;
SIMON; SIMON ;;;;;;;
SOUBESPIN; SOUBESPIN ;;;;;;;
SPRIET; SPRIET ;;;;;;;
STAPPAERT; STAPPAERT ;;;;;;;
STIEN; STIEN ;;;;;;;
STIEVENAERT; STIEVENAERT ;;;;;;;
STRICANNE; STRICANNE ;;;;;;;
TIRLEMONT; TIRLEMONT ;;;;;;;
TOURTOIS; TOURTOIS ;;;;;;;
VANDENABELLE; VANDENABELLE ;;;;;;;
VANDERLINDEN; VANDERLINDEN ;;;;;;;
VANDEVELDE; VANDEVELDE ;;;;;;;
VANHOVE; VANHOVE ;;;;;;;
VANLATON; VANLATON ;;;;;;;
VERGAUVEN; VERGAUVEN ;;;;;;;
VERMEULEN; VERMEULEN ;;;;;;;
VIGNAL; VIGNAL ;;;;;;;
VILLA CAMILLE; VILLA CAMILLE ;;;;;;;
VINCENT; VINCENT ;;;;;;;
WAREIN; WAREIN ;;;;;;;
WATTEAU; WATTEAU ;;;;;;;
WATTECAMPS; WATTECAMPS ;;;;;;;
WYTTERHAEGHE; WYTTERHAEGHE ;;;;;;;
DE L ESPLANADE; DE L ESPLANADE ;;;;;;;
DE LA RENOVATION; DE LA RENOVATION ;;;;;;;
BARGE; BARGE ;;;;;;;
BECKER; BECKER ;;;;;;;
BLERIOT; BLERIOT ;;;;;;;
BOURJEMBOIS; BOURJEMBOIS ;;;;;;;
